"Delete Order","Elimina ordine"
"Are you sure you want to do this?","Sei sicuro di volerlo fare?"
"Only selected order status can be deleted. Please check Delete Order <a href='%1'>configuration.</a>","È possibile eliminare solo gli ordini con gli stati selezionati. Controlla la configurazione di <a href='%1'>EM Delete Order</a>."
"Please check delete order <a href='%1'>configuration.</a>","Controlla la configurazione di <a href='%1'>EM Delete Order</a>."
"Order does not exist.","L'ordine non esiste."
"Order has been deleted successfully.","L'ordine è stato cancellato con successo."
"Total of %1 record were successfully deleted.","Il totale di %1 record è stato eliminato con successo."
"Some order(s) could not be deleted. Only selected order status can be deleted.","Alcuni ordini non possono essere eliminati. È possibile eliminare solo gli ordini con lo stato selezionato."
"Delete Orders","Elimina Ordini"
"Are you sure you wan't to delete selected order(s)?","Sei sicuro di voler eliminare gli ordini selezionati?"
"Select Order Status","Seleziona gli Stati degli Ordini"
"Order Status","Stati Ordine"
"Only selected order can be deleted.","Solo gli ordini selezionati posso essere eliminati."
